,scientificName,redlistCategory,populationTrend
8118,Craugastor laevissimus,Endangered,Decreasing
8119,Craugastor merendonensis,Critically Endangered,Unknown
8120,Craugastor milesi,Critically Endangered,Unknown
8121,Craugastor olanchano,Critically Endangered,Decreasing
8122,Craugastor pechorum,Endangered,Decreasing
8123,Craugastor phasma,Critically Endangered,Unknown
8124,Craugastor rayo,Endangered,Decreasing
8125,Craugastor rivulus,Vulnerable,Decreasing
8126,Craugastor rostralis,Vulnerable,Decreasing
8127,Craugastor saltuarius,Critically Endangered,Decreasing
8128,Craugastor sandersoni,Endangered,Decreasing
8129,Craugastor stadelmani,Critically Endangered,Decreasing
8130,Craugastor trachydermus,Critically Endangered,Decreasing
8131,Leptodactylus silvanimbus,Critically Endangered,Decreasing
8132,Lithobates macroglossa,Vulnerable,Decreasing
8133,Lithobates miadis,Critically Endangered,Stable
8134,Bolitoglossa alvaradoi,Vulnerable,Decreasing
8135,Bolitoglossa carri,Critically Endangered,Decreasing
8136,Bolitoglossa celaque,Critically Endangered,Stable
8137,Bolitoglossa conanti,Vulnerable,Decreasing
8138,Bolitoglossa cuchumatana,Endangered,Decreasing
8139,Bolitoglossa decora,Critically Endangered,Decreasing
8140,Bolitoglossa diaphora,Endangered,Decreasing
8141,Bolitoglossa helmrichi,Vulnerable,Decreasing
8142,Bolitoglossa jacksoni,Critically Endangered,Decreasing
8143,Bolitoglossa longissima,Critically Endangered,Decreasing
8144,Bolitoglossa meliana,Endangered,Decreasing
8145,Bolitoglossa mombachoensis,Vulnerable,Stable
8146,Bolitoglossa porrasorum,Endangered,Decreasing
8147,Bolitoglossa salvinii,Vulnerable,Decreasing
8148,Bolitoglossa sooyorum,Endangered,Decreasing
8149,Bolitoglossa synoria,Critically Endangered,Decreasing
8150,Bradytriton silus,Endangered,Decreasing
8151,Cryptotriton veraepacis,Critically Endangered,Decreasing
8152,Dendrotriton bromeliacius,Critically Endangered,Decreasing
8153,Dendrotriton cuchumatanus,Critically Endangered,Decreasing
8154,Dendrotriton rabbi,Critically Endangered,Decreasing
8155,Dendrotriton sanctibarbarus,Critically Endangered,Decreasing
8156,Nototriton barbouri,Endangered,Decreasing
8157,Nototriton lignicola,Endangered,Decreasing
8158,Nototriton limnospectator,Endangered,Decreasing
8159,Nototriton major,Endangered,Unknown
8160,Nototriton saslaya,Critically Endangered,Decreasing
8161,Nototriton stuarti,Critically Endangered,Decreasing
8162,Oedipina carablanca,Endangered,Decreasing
8163,Oedipina ignea,Endangered,Unknown
8164,Oedipina poelzi,Endangered,Decreasing
8165,Oedipina stenopodia,Endangered,Decreasing
8166,Craugastor campbelli,Critically Endangered,Decreasing
8167,Craugastor nefrens,Critically Endangered,Decreasing
8168,Bolitoglossa heiroreias,Endangered,Decreasing
8169,Bolitoglossa oresbia,Critically Endangered,Decreasing
8170,Incilius guanacaste,Endangered,Unknown
8171,Craugastor chingopetaca,Vulnerable,Decreasing
8172,Oedipina tomasi,Critically Endangered,Decreasing
8173,Incilius chompipe,Endangered,Stable
8174,Bromeliohyla melacaena,Endangered,Decreasing
8175,Cryptotriton sierraminensis,Critically Endangered,Stable
8176,Dendrotriton kekchiorum,Critically Endangered,Decreasing
8177,Bolitoglossa suchitanensis,Critically Endangered,Unknown
8178,Bolitoglossa indio,Endangered,Decreasing
8179,Bolitoglossa insularis,Critically Endangered,Decreasing
8180,Bolitoglossa kamuk,Vulnerable,Stable
8181,Oedipina tzutujilorum,Endangered,Decreasing
8182,Bothrops lojanus,Vulnerable,Unknown
8183,Atractus roulei,Vulnerable,Unknown
8184,Riama stigmatoral,Vulnerable,Unknown
8185,Stenocercus festae,Vulnerable,Unknown
8186,Riama balneator,Endangered,Unknown
8187,Macropholidus annectens,Endangered,Unknown
8188,Riama oculata,Endangered,Unknown
8189,Stenocercus haenschi,Critically Endangered,Unknown
8190,Riama petrorum,Endangered,Unknown
8191,Pseudalsophis slevini,Vulnerable,Unknown
8192,Phrynocephalus saidalievi,Vulnerable,Decreasing
8193,Cyrtodactylus auribalteatus,Vulnerable,Stable
8194,Cyrtodactylus badenensis,Vulnerable,Unknown
8195,Cyrtodactylus bichnganae,Vulnerable,Unknown
8196,Hippocampus capensis,Endangered,Decreasing
8197,Hippocampus histrix,Vulnerable,Decreasing
8198,Hippocampus ingens,Vulnerable,Decreasing
8199,Hippocampus spinosissimus,Vulnerable,Decreasing
8200,Hippocampus barbouri,Vulnerable,Decreasing
8201,Hippocampus mohnikei,Vulnerable,Decreasing
