"Scientific Name","Common Name","Species Group","Federal Listing Status","Where Listed"
"Cacatua sulphurea","Yellow-crested cockatoo","Birds","Endangered","Wherever found"
"Caiman crocodilus apaporiensis","Apaporis River caiman","Reptiles","Endangered","Wherever found"
"Caiman crocodilus crocodilus","Common caiman","Reptiles","Similarity of Appearance to a Threatened Taxon","Wherever found"
"Caiman crocodilus fuscus (includes Caiman crocodilus chiapasius)","Brown Caiman","Reptiles","Similarity of Appearance to a Threatened Taxon","Wherever found"
"Caiman latirostris","Broad-snouted caiman","Reptiles","Endangered","Bolivia, Brazil, Paraguay, and Uruguay"
"Caiman latirostris","Broad-snouted caiman","Reptiles","Threatened","Argentina DPS"
"Caiman yacare","Yacare Caiman","Reptiles","Threatened","Wherever found"
"Cairina scutulata","White-winged wood duck","Birds","Endangered","Wherever found"
"Calidris canutus rufa","Red knot","Birds","Threatened","Wherever found"
"Callaeas cinerea","Kokako (wattlebird)","Birds","Endangered","Wherever found"
"Callimico goeldii","Goeldi's marmoset","Mammals","Endangered","Wherever found"
"Callithrix aurita (=jacchus a.)","White-eared (=buffy tufted-ear) marmoset","Mammals","Endangered","Wherever found"
"Callithrix flaviceps","Buff-headed marmoset","Mammals","Endangered","Wherever found"
"Callophrys mossii bayensis","San Bruno elfin butterfly","Insects","Endangered","Wherever found"
"Caloprymnus campestris","Desert (=plain) rat-kangaroo","Mammals","Endangered","Wherever found"
"Camarhynchus pauper","Floreana tree-Finch","Birds","Endangered","Wherever found"
"Cambarus aculabrum","Benton County cave crayfish","Crustaceans","Endangered","Wherever found"
"Cambarus callainus","Big Sandy crayfish","Crustaceans","Threatened","Wherever found"
"Cambarus cracens","Slenderclaw crayfish","Crustaceans","Endangered","Wherever found"
"Cambarus veteranus","Guyandotte River crayfish","Crustaceans","Endangered","Wherever found"
"Cambarus zophonastes","Hell Creek Cave crayfish","Crustaceans","Endangered","Wherever found"
"Camelus bactrianus","Bactrian camel","Mammals","Endangered","Wherever found"
"Campeloma decampi","Slender campeloma","Snails","Endangered","Wherever found"
"Campephilus imperialis","Imperial woodpecker","Birds","Endangered","Wherever found"
"Campephilus principalis","Ivory-billed woodpecker","Birds","Endangered","Wherever found"
"Canis lupus baileyi","Mexican wolf","Mammals","Endangered","Wherever found, except where included in an experimental population as set forth in 17.84(k)"
"Canis lupus baileyi","Mexican wolf","Mammals","Experimental Population, Non-Essential","U.S.A. (portions of AZ and NM)see 17.84(k)"
"Canis rufus","Red wolf","Mammals","Endangered","Wherever found, except where listed as an experimental population"
"Canis rufus","Red wolf","Mammals","Experimental Population, Non-Essential","U.S.A. (portions of NC and TN see  17.84(c)(9))"
"Canis simensis","Simien fox","Mammals","Endangered","Wherever found"
"Cantharellus noumeae","No common name","Corals","Endangered","Entire"
"Capra falconeri (=aegragrus) chiltanensis","Chiltan (=wild goat) markhor","Mammals","Endangered","Wherever found"
"Capra falconeri megaceros","Straight-horned markhor","Mammals","Threatened","Wherever found"
"Capra pyrenaica pyrenaica","Pyrenean ibex","Mammals","Endangered","Wherever found"
"Capra walie","Walia ibex","Mammals","Endangered","Wherever found"
"Caprimulgus noctitherus","Puerto Rican nightjar","Birds","Endangered","Wherever found"
"Caprolagus hispidus","Hispid hare","Mammals","Endangered","Wherever found"
"Capromys angelcabrerai","Cabrera's hutia","Mammals","Endangered","Wherever found"
"Capromys auritus","Large-eared hutia","Mammals","Endangered","Wherever found"
"Capromys nana","Dwarf hutia","Mammals","Endangered","Wherever found"
"Capromys sanfelipensis","Little earth hutia","Mammals","Endangered","Wherever found"
"Carduelis cucullata","Red siskin","Birds","Endangered","Wherever found"
"Caretta caretta","Loggerhead sea turtle","Reptiles","Endangered","Loggerhead sea turtles originating from the South Pacific south of the equator, north of 60 degrees S. Lat., west of 67 degrees W. Long., and east of 141 degrees E. Long."
"Caretta caretta","Loggerhead sea turtle","Reptiles","Endangered","Mediterranean Sea DPS - Loggerhead sea turtles originating from the Mediterranean Sea east of 5 degrees 36 minues W. Long."
"Caretta caretta","Loggerhead sea turtle","Reptiles","Endangered","Northeast Atlantic Ocean DPS - Loggerhead sea turtles originating from the Northeast Atlantic Ocean north of the equator, south of 60 degrees N. Lat., and east of 40 degrees W. Long., except in the vicinity of the Strait of Gibraltar where the eastern boundary is 5 degrees 36 minutes W. Long"
"Caretta caretta","Loggerhead sea turtle","Reptiles","Endangered","North Indian Ocean DPS - Loggerhead sea turtles originating from the North Indian Ocean north of the equator and south of 30? N. Lat"
"Caretta caretta","Loggerhead sea turtle","Reptiles","Endangered","North Pacific Ocean DPS - Loggerhead sea turtles originating from the North Pacific north of the equator and south of 60 degrees N. Lat"
"Caretta caretta","Loggerhead sea turtle","Reptiles","Threatened","Loggerhead sea turtles originating from the South Atlantic Ocean south of the equator, north of 60 degrees S. Lat., west of 20 degrees E. Long., and east of 67 degrees W. Long"
"Caretta caretta","Loggerhead sea turtle","Reptiles","Threatened","Loggerhead sea turtles originating from the Southeast Indian Ocean south of the equator, north of 60 degrees S. Lat., and east of 80 degrees E. Long.; South Pacific Ocean south of the equator, north of 60degrees S. Lat., and west of 141 degrees E. Long"
"Caretta caretta","Loggerhead sea turtle","Reptiles","Threatened","Loggerhead sea turtles originating from the Southwest Indian Ocean north of the equator, south of 30 degrees N. Lat., east of 20 degrees E. Long., and west of 80 degrees E. Long."
"Caretta caretta","Loggerhead sea turtle","Reptiles","Threatened","Northwest Atlantic Ocean DPS - Loggerhead sea turtles originating from the Northwest Atlantic Ocean west of 40 degrees W. Long"
"Casarea dussumieri","Round Island casarea boa","Reptiles","Endangered","Wherever found"
"Castor fiber birulai","Beaver (Mongolian)","Mammals","Endangered","Wherever found"
"Catopuma (=Felis) temminckii","Asian golden (=Temmnick's) cat","Mammals","Endangered","Wherever found"
"Catostomus discobolus yarrowi","Zuni bluehead Sucker","Fishes","Endangered","Wherever found"
"Catostomus santaanae","Santa Ana sucker","Fishes","Threatened","Los Angeles River basin, San Gabriel River basin, Santa Ana River basin"
"Catostomus warnerensis","Warner sucker","Fishes","Threatened","Wherever found"
"Catreus wallichii","Cheer pheasant","Birds","Endangered","Wherever found"
"Centrocercus minimus","Gunnison sage-grouse","Birds","Threatened","Wherever found"
"Cephalophus jentinki","Jentink's duiker","Mammals","Endangered","Wherever found"
"Cephalorhynchus hectori hectori","South Island Hector's dolphin","Mammals","Threatened","Entire"
"Cephalorhynchus hectori maui","Maui dolphin","Mammals","Endangered","Entire"
"Ceratotherium simum cottoni","Northern white rhinoceros","Mammals","Endangered","Zaire, Uganda, Sudan, Central African Republic"
"Ceratotherium simum ssp. simum","Southern white rhinoceros","Mammals","Similarity of Appearance to a Threatened Taxon","Wherever found"
"Cercocebus galeritus galeritus","Tana River mangabey","Mammals","Endangered","Wherever found"
"Cercocebus torquatus","White-collared mangabey","Mammals","Endangered","Wherever found"
"Cercopithecus diana","Diana monkey","Mammals","Endangered","Wherever found"
